English Sentence,Korean Pronounce,Direct Comprehension,Comprehension
The cheetah is the fastest.,더 치타 이즈 더 패스티스트.,치타가 / 가장 빠릅니다,치타가 가장 빨라요.
Which one is the slowest?,위치 원 이즈 더 슬로우이스트?,어느 것이 / 가장 느립니까,어떤 게 가장 느린가요?
The turtle is the slowest.,더 터틀 이즈 더 슬로우이스트.,거북이가 / 제일 느립니다,거북이가 가장 느려요.
Miami is one of the most beautiful cities in the world.,마이애미 이즈 원 오브 더 모우스트 뷰티풀 시티즈 인 더 월드.,마이애미는 / 이야 / 하나 / 가장 아름다운 / 도시들 중의 / 세계에서,마이애미는 세계에서 가장 아름다운 도시 중 하나예요.
I know. I hope to visit there someday.,아이 노우. 아이 홉 투 비짓 데어 썸데이.,그래 / 나는 / 바라 / 방문하기를 / 거기를 / 언젠가는,알아요. 언젠가 그곳에 가보고 싶네요.
Have you ever been to England?,해브 유 에버 빈 투 잉글랜드?,가 본적이 있니 / 너는 / 영국에,영국에 가본 적 있으세요?
"Yes, I have.","예스, 아이 해브.",응 / 그래,"네, 가본 적 있어요."
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아,"아니요, 없어요."
Have you ever been to Paris?,해브 유 에버 빈 투 패리스?,가 본적이 있니 / 너는 / 파리에,파리에 가본 적 있으세요?
Have you ever eaten ginseng?,해브 유 에버 이튼 진쎙?,먹어 본적이 있니 / 너는 / 인삼을,인삼 먹어본 적 있으세요?
"Yes, I have.","예스, 아이 해브.",응 / 그래,"네, 먹어본 적 있어요."
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아,"아니요, 없어요."
Have you ever dreamed in English?,해브 유 에버 드림드 인 잉글리쉬?,꿔 본적이 있니 / 너는 / 꿈을 / 영어로,영어로 꿈을 꾼 적 있으세요?
Have you ever eaten potato salad?,해브 유 에버 이튼 퍼테이토우 샐러드?,먹어 본적이 있니 / 너는 / 감자 샐러드를,감자 샐러드 먹어본 적 있으세요?
I've been to London.,아이브 빈 투 런던.,나는 / 가 본 적이 있어 / 런던에,전 런던에 가본 적이 있어요.
But I've never been to India.,벗 아이브 네버 빈 투 인디아.,그러나 / 나는 / 가 본 적이 없어 / 인도에,하지만 인도는 한 번도 안 가봤어요.
"I've eaten onions,","아이브 이튼 어니언즈,",나는 / 먹어 본 적이 있어 / 양파를,"전 양파를 먹어본 적이 있어요."
But I've never eaten garlic.,벗 아이브 네버 이튼 갈릭.,그러나 / 나는 / 먹어 본 적이 없어 / 마늘을,하지만 마늘은 한 번도 안 먹어봤어요.
I've seen a penguin.,아이브 씬 어 펭귄.,나는 / 본 적이 있어 / 펭귄을,전 펭귄을 본 적이 있어요.
But I've never seen a cheetah.,벗 아이브 네버 씬 어 치타.,그러나 / 나는 / 본 적이 없어 / 치타를,하지만 치타는 한 번도 못 봤어요.
Have you finished your homework yet?,해브 유 피니쉬트 유어 홈워크 옛?,끝냈니 / 너는 / 숙제를 / 아직,숙제 벌써 다 끝냈니?
"Yes, I have.","예스, 아이 해브.",응 / 그래,"네, 다 했어요."
"No, I haven't.","노우, 아이 해븐트.",아니 / 그렇지 않아,"아니요, 아직 다 못 했어요."
Have you cleaned up your room?,해브 유 클린드 업 유어 룸?,청소했니 / 너는 / 너의 / 방을,방 청소 다 했니?
How long have you been a teacher?,하우 롱 해브 유 빈 어 티처?,얼마 동안 / 있었어요 / 너는 / 교사로,선생님이 되신 지 얼마나 되셨나요?
I have been a teacher for six years.,아이 해브 빈 어 티처 포 씩스 이어즈.,나는 / 있었어요 / 교사로 / 6년 동안,전 6년 동안 교사로 일해왔어요.
How often do you go bowling?,하우 오픈 두 유 고우 볼링?,얼마나 자주 / 가니 / 너는 / 볼링 하러,얼마나 자주 볼링 치러 가세요?
I go bowling once a week.,아이 고우 볼링 원스 어 윅.,나는 / 가 / 볼링 하러 / 일주일에 / 한 번,전 일주일에 한 번 볼링 치러 가요.
How often do you climb a mountain?,하우 오픈 두 유 클라임 어 마운틴?,얼마나 자주 / 가니 / 너는 / 등산을,얼마나 자주 등산하세요?
I climb a mountain twice a week.,아이 클라임 어 마운틴 트와이스 어 윅.,나는 / 가 / 등산을 / 일주일에 / 두 번,전 일주일에 두 번 등산해요.
I wish there were no pollution in the world.,아이 위쉬 데어 워 노우 펄루션 인 더 월드.,바라 / 없으면 / 오염이 / 세상에,세상에 오염이 없었으면 좋겠어요.
You can say that again.,유 캔 세이 댓 어겐.,그래 / 네 말이 / 정말 / 맞아,정말 맞는 말씀이에요.
I wish there were no war in the world.,아이 위쉬 데어 워 노우 워 인 더 월드.,바라 / 없으면 / 전쟁이 / 세상에,세상에 전쟁이 없었으면 좋겠어요.
I'm not good at English.,아임 낫 굿 앳 잉글리쉬.,나는 / 잘 못해 / 영어를,전 영어를 잘 못 해요.
I wish I was good at English.,아이 위쉬 아이 워즈 굿 앳 잉글리쉬.,바라 / 잘 하면 / 영어를,영어를 잘했으면 좋겠어요.
I can't dance. I wish I could dance well.,아이 캔트 댄스. 아이 위쉬 아이 쿠드 댄스 웰.,나는 / 못 춰 / 춤을 / 바라 / 잘 출 수 있으면 / 춤을,춤을 못 춰요. 춤을 잘 췄으면 좋겠어요.
I wear glasses. I wish I didn't wear glasses.,아이 웨어 글래시즈. 아이 위쉬 아이 디든트 웨어 글래시즈.,나는 / 끼고 있어 / 안경을 / 바라 / 끼지 않으면 / 안경을,안경을 써요. 안경을 안 썼으면 좋겠어요.
I don't have a cell-phone.,아이 돈트 해브 어 쎌폰.,나는 / 없어 / 핸드폰이,전 휴대폰이 없어요.
I wish I had a cell-phone.,아이 위쉬 아이 해드 어 쎌폰.,바라 / 있으면 / 핸드폰이,휴대폰이 있었으면 좋겠어요.
"If you could go anywhere,","이프 유 쿠드 고우 애니웨어,",만일 / 갈 수 있다면 / 너가 / 어디든지,"어디든 갈 수 있다면,"
Where would you go?,웨어 우드 유 고우?,어디에 / 가겠니 / 너는,어디에 가고 싶으세요?
I would go to Miami.,아이 우드 고우 투 마이애미.,나는 / 갈 거야 / 마이애미에,전 마이애미에 갈 거예요.
What do you do before you eat breakfast?,왓 두 유 두 비포 유 잇 브렉퍼스트?,무엇을 / 하니 / 너는 / 전에 / 먹기 / 아침식사를,아침 먹기 전에 보통 뭐 하세요?
I go swimming before I eat breakfast.,아이 고우 스위밍 비포 아이 잇 브렉퍼스트.,나는 / 가 / 수영하러 / 전에 / 먹기 / 아침식사를,전 아침 먹기 전에 수영하러 가요.
What have you done before you ate breakfast?,왓 해브 유 던 비포 유 에이트 브렉퍼스트?,무엇을 / 했니 / 너는 / 전에 / 먹기 / 아침식사를,아침 먹기 전에 뭐 하셨나요?
I had gone swimming before I ate breakfast.,아이 해드 곤 스위밍 비포 아이 에이트 브렉퍼스트.,나는 / 갔었어 / 수영하러 / 전에 / 먹기 / 아침식사를,전 아침 먹기 전에 수영하러 갔었어요.
What did you want to be when you were little?,왓 디쥬 원트 투 비 웬 유 워 리를?,무엇이 / 되고 싶었니 / 너는 / 어렸을 때,어렸을 때 꿈이 뭐였니?
I wanted to be a police officer.,아이 원티드 투 비 어 펄리스 오피서.,나는 / 되고 싶었어 / 경찰관이,전 경찰관이 되고 싶었어요.
What were you doing when I rang the doorbell?,왓 워 유 두잉 웬 아이 랭 더 도어벨?,무엇을 / 하고 있었니 / 너는 / 내가 / 눌렀을 때 / 현관 벨을,제가 벨을 눌렀을 때 뭐 하고 있었어요?
I was doing my homework when you rang the doorbell.,아이 워즈 두잉 마이 홈워크 웬 유 랭 더 도어벨.,나는 / 하고 있었어 / 숙제를 / 네가 / 눌렀을 때 / 현관 벨을,네가 벨을 눌렀을 때 전 숙제하고 있었어.
When did you learn how to ride a bike?,웬 디쥬 런 하우 투 라이드 어 바이크?,언제 / 배웠니 / 타는 방법을 / 자전거를,자전거 타는 법 언제 배웠니?
I learned how to ride a bike when I was six.,아이 런드 하우 투 라이드 어 바이크 웬 아이 워즈 씩스.,나는 / 배웠어 / 타는 방법을 / 자전거를 / 내가 / 6살이었을 때,6살 때 자전거 타는 법을 배웠어요.
Why did you wake up late?,와이 디쥬 웨이크 업 레이트?,왜 / 일어났니 / 너는 / 늦게,왜 늦게 일어났니?
"I forgot to set the alarm clock, so I woke up late.","아이 포갓 투 쎗 디 얼람 클락, 쏘우 아이 워우크 업 레이트.",나는 / 깜빡 잊었어 / 맞추는 것을 / 알람 시계를 / 그래서 / 일어났어 / 늦게,"알람 맞추는 걸 깜빡해서 늦게 일어났어요."
I woke up late because I forgot to set the alarm clock.,아이 워우크 업 레이트 비코즈 아이 포갓 투 쎗 디 얼람 클락.,나는 / 일어났어 / 늦게 / 왜냐하면 / 깜박 잊었기 때문에 / 맞추는 것을 / 알람 시계를,알람 맞추는 걸 잊어버려서 늦게 일어났어요.
